AgentId;GoalReached;TimeElapsed;TotalDistance;Collisions;FinalDistanceToGoal;Fitness
9;True;6,959108;29,81305;0;0,9177873;0
3;True;7,99486;33,00743;0;0,6634115;0
6;True;11,92182;50,42983;0;0,07327157;0
4;True;12,96622;46,87984;5;0,2669434;0
2;True;18,82151;66,99434;7;0,5573984;0
5;True;19,19601;71,33853;2;0,5457637;0
0;True;20,67304;80,44098;2;0,5706569;0
1;True;26,05122;93,39695;13;0,9445139;0
7;False;40,2409;147,7154;0;36,77971;0
8;False;40,2409;142,2355;5;23,67185;0
11;True;12,4087;44,22374;7;0,5152496;0
10;True;18,35577;73,41254;2;0,1945214;0
15;True;21,2005;82,623;2;0,7073969;0
12;False;40,20002;146,5616;3;13,50774;0
13;False;40,20002;153,3102;4;16,0898;0
14;False;40,20002;151,0467;0;27,37028;0
16;False;40,20002;155,4076;2;10,02956;0
17;False;40,20002;152,7923;2;8,58422;0
18;False;40,20002;141,128;5;10,06607;0
19;False;40,20002;149,854;3;18,04826;0
27;True;16,71361;60,63128;3;0,7502778;0
22;True;24,06715;83,58187;6;0,8025041;0
20;False;40,11745;143,2833;6;7,95876;0
21;False;40,11745;150,5607;3;5,00417;0
23;False;40,11745;150,0862;7;35,06253;0
24;False;40,11745;134,8494;6;11,88405;0
25;False;40,11745;139,1577;7;23,31284;0
26;False;40,11745;147,6679;2;11,10886;0
28;False;40,11745;148,8963;2;26,04011;0
29;False;40,11745;143,5946;1;6,252635;0
37;True;10,9071;42,96375;0;0,9284934;0
32;True;11,65321;41,50648;5;0,9536554;0
36;True;14,43614;59,45205;0;0,8071797;0
31;True;16,68168;61,31931;3;0,9163709;0
34;True;20,30282;81,37685;2;0,9864281;0
30;False;40,01944;151,1609;6;37,08389;0
33;False;40,01944;143,3505;0;12,91277;0
35;False;40,01944;144,2606;14;20,72556;0
38;False;40,01944;150,0535;0;7,469837;0
39;False;40,01944;144,9918;9;8,702402;0
49;True;6,288823;25,00042;0;0,8185235;0
47;True;11,38043;37,42015;9;0,6826962;0
43;True;13,25637;42,29364;9;0,8505476;0
45;True;14,94766;57,87815;0;0,6305216;0
42;True;15,69294;67,21336;0;0,6726861;0
41;True;18,99815;72,30849;0;0,8397774;0
40;False;40,00398;139,5424;4;14,72983;0
44;False;40,00398;136,2892;0;14,60925;0
46;False;40,00398;153,3052;11;4,156513;0
48;False;40,00398;148,6075;5;2,633316;0
54;True;11,97327;47,7739;0;0,9809744;0
57;True;11,97327;50,18166;0;0,9606258;0
56;True;12,31464;51,90319;0;0,1167099;0
53;True;22,15017;77,23419;11;0,8581421;0
50;False;40,26788;153,4771;6;6,731632;0
51;False;40,26788;150,5636;13;1,639312;0
52;False;40,26788;147,113;3;30,83717;0
55;False;40,26788;146,7557;6;7,113445;0
58;False;40,26788;126,4884;13;15,33079;0
59;False;40,26788;138,6008;12;8,551753;0
64;True;8,682715;35,52312;0;0,6927112;0
61;True;14,15255;57,18181;2;0,8269968;0
63;True;14,5582;56,74228;7;0,7775794;0
60;True;18,40154;75,592;0;0,7059721;0
67;True;22,60847;68,86331;26;0,5078654;0
62;False;40,06198;138,9156;5;17,60671;0
65;False;40,06198;153,5865;12;7,64536;0
66;False;40,06198;146,8399;8;6,185782;0
68;False;40,06198;159,3235;2;9,38833;0
69;False;40,06198;142,48;6;25,79205;0
76;True;9,862638;42,12788;0;0,9190091;0
77;True;12,32592;48,24168;2;0,9454532;0
78;True;13,80738;52,12867;6;0,6650459;0
70;True;14,51422;57,37359;3;0,3969427;0
74;True;15,6472;66,81348;0;0,6770955;0
73;True;27,23398;102,76;6;0,7152138;0
71;False;40,04594;156,4706;3;6,107974;0
72;False;40,04594;144,5768;2;14,18819;0
75;False;40,04594;154,5568;6;15,64823;0
79;False;40,04594;154,22;0;25,53806;0
86;True;9,711597;40,25066;0;0,8171273;0
81;True;10,79801;42,17859;0;0,6569071;0
82;True;21,79677;85,83211;5;0,8482487;0
85;True;39,50661;145,6229;19;0,8958792;0
80;False;40,23333;148,3451;4;4,06128;0
83;False;40,23333;142,6631;6;14,48478;0
84;False;40,23333;144,9048;0;13,03652;0
87;False;40,23333;139,1043;1;19,84787;0
88;False;40,23333;140,9469;5;27,14973;0
89;False;40,23333;138,3605;5;9,741547;0
94;True;9,639695;37,54967;1;0,5799096;0
93;True;12,18927;43,22215;5;0,7217805;0
90;True;16,42111;64,70068;1;0,8197738;0
95;True;21,6394;86,78759;0;0,9777037;0
99;True;22,39335;83,07995;5;0,728257;0
96;True;26,45596;85,50588;18;0,7819797;0
91;False;40,25475;147,3376;6;16,98727;0
92;False;40,25475;143,8019;12;1,125589;0
97;False;40,25475;150,0942;8;18,52067;0
98;False;40,25475;150,6498;1;16,71939;0
