GeneIndex,Weight
0; 0,9069364
1; -0,09420764
2; 0,02441514
3; -0,7716137
4; -0,06856334
5; -0,6640654
6; 0,9879689
7; 0,5178822
8; 0,103417
9; 0,1336495
10; -0,7602763
11; 0,3238437
12; 0,3188395
13; -0,3389515
14; -0,8985701
15; 0,7338064
16; 0,9582453
17; 0,7357359
18; -0,3710588
19; 0,1695739
20; 0,7140467
21; 0,8913667
22; 0,4819719
23; -0,8347876
24; -0,4692029
25; -0,317984
26; 0,7178462
27; 0,4309194
28; -0,424199
29; -0,1283418
30; -0,2604955
31; 0,7188911
32; -0,9690013
33; 0,112574
34; 0,855159
35; -0,4853336
36; 0,9589269
37; -0,7627909
38; 0,1046742
39; -0,5982342
40; 0,9712594
41; -0,09026897
42; -0,6171625
43; -0,584946
44; 0,5237744
45; 0,3651304
46; 0,5983617
47; -0,6257286
48; -0,2345525
49; -0,8142045
50; 0,4565384
51; -0,9471235
52; -0,8328729
53; 0,7271662
54; 0,1463839
55; 0,2093703
56; 0,2811587
57; 0,8039174
58; 0,032462
59; -0,4088167
60; -0,0244776
61; 0,5232723
62; 0,5017166
63; -0,2500998
64; 0,02738607
65; -0,5191705
66; -0,3492752
67; 0,0006667376
68; 0,9789879
69; -0,9480411
70; 0,04749954
71; 0,8677649
72; -0,4596394
73; 0,1444696
74; -0,5401096
75; -0,2943376
76; 0,3044281
77; -0,2613686
78; -0,7441747
79; -0,3353959
80; 0,7320929
81; -0,6089716
82; 0,2625582
83; -0,06887782
84; 0,910352
85; -0,2109107
86; 0,02204525
87; -0,06785285
88; -0,7032003
89; 0,6728864
90; -0,445562
91; 0,610378
92; -0,4295813
93; -0,3363096
94; 0,8945003
95; 0,03802669
96; -0,5504913
97; 0,7856731
98; -0,1159328
99; -0,2969462
100; 0,4368744
101; -0,05589998
102; 0,6938927
103; -0,8598356
104; 0,2553804
105; -0,4697503
106; 0,643995
107; -0,8019044
108; 0,7657666
109; -0,1868137
110; -0,08944738
111; 0,987047
112; -0,6161871
113; 0,5620184
114; 0,24181
115; 0,018139
116; 0,3370056
117; -0,835649
118; 0,3821082
119; -0,02885759
120; 0,8096927
121; -0,4759275
122; 0,687027
123; -0,4337159
124; 0,8374612
125; 0,5716748
126; -0,1869887
127; -0,6134305
128; 0,3507168
129; -0,6847556
130; -0,1254588
131; -0,5331357
132; 0,8475132
133; -0,08532012
134; 0,2846934
135; 0,05219948
136; 0,4133041
137; -0,2057801
138; -0,8749981
139; -0,1571211
140; -0,538682
141; 0,8458474
142; 0,7881398
143; 0,3379581
144; -0,1888381
145; 0,8055363
146; 0,5840671
147; 0,4659612
148; -0,01698506
149; 0,8042769
150; 0,7277644
151; 0,3919956
152; -0,2469758
153; 0,745198
154; 0,5093987
155; 0,676595
156; -0,9815698
157; -0,4488884
158; -0,1417297
159; -0,6969965
160; 0,8085592
161; 0,4655888
162; -0,6528461
163; -0,4538916
164; 0,2691543
165; 0,2973964
166; -0,3298548
167; -0,5024872
168; -0,5624614
169; 0,07805574
170; 0,5791087
171; -0,6893456
172; -0,5758655
173; -0,4170469
174; -0,9362171
175; 0,9725871
176; -0,7488215
177; 0,609839
178; 0,6621869
179; -0,7466736
180; 0,6402557
181; 0,7442243
182; -0,08753216
183; 0,7324505
184; -0,3132907
185; -0,1398195
186; -0,6277971
187; 0,9621372
188; -0,8130128
189; 0,8955584
190; 0,5135663
191; 0,7371948
192; -0,2178327
193; -0,7322063
194; 0,4060898
195; 0,1339217
196; -0,1966521
197; -0,08632886
198; 0,9635749
199; -0,2121044
200; -0,8636799
201; -0,5192347
202; -0,3502568
203; -0,4132568
204; 0,9003818
205; -0,4009031
206; 0,6113446
207; -0,6196759
208; -0,5528579
209; 0,01546609
210; 0,02395713
211; -0,6589937
212; 0,3109777
213; -4,279613E-05
214; 0,01436031
215; 0,8492908
216; 0,31253
217; -0,7832856
218; -0,9475482
219; 0,398915
220; -0,6636132
221; -0,4752489
222; 0,702332
223; -0,9454086
224; 0,4028651
225; 0,5518386
226; -0,4868346
227; 0,1100308
228; 0,2670016
229; -0,9899826
230; 0,08301055
231; -0,5155067
232; 0,7035773
233; 0,7687624
234; -0,7317071
235; -0,7343004
236; -0,5635252
237; 0,5716093
238; 0,9898477
239; -0,04057109
240; -0,7291493
241; 0,6220226
242; 0,2731521
243; -0,4516515
244; 0,9091883
245; 0,7548323
246; -0,105812
247; 0,332303
248; -0,05151284
249; -0,8465719
250; -0,1066412
251; -0,533778
252; -0,330531
253; -0,7140861
254; 0,3853097
255; -0,8997464
256; 0,3083541
257; -0,7475321
258; 0,9195342
259; -0,9838388
260; 0,6205111
261; -0,1222364
262; -0,1971756
263; -0,6679378
264; -0,1005579
265; -0,4009994
266; 0,3597641
267; 0,8373132
268; -0,2213428
269; 0,5605187
270; 0,5049677
271; 0,6286738
272; 0,4382965
273; -0,8401179
274; -0,3258847
275; 0,1804789
276; 0,8921409
277; -0,4160917
278; 0,5140393
279; -0,9773407
280; -0,9227231
281; 0,01362288
282; -0,1513706
283; -0,8751609
284; -0,5385641
285; -0,7384498
286; 0,9093535
287; -0,7899072
288; 0,2592539
289; 0,4833409
290; -0,9342594
291; -0,3245333
292; 0,8997395
293; 0,1629721
294; -0,5816505
295; 0,7560451
296; 0,9074891
297; 0,9583788
298; 0,8991847
299; -0,09396732
300; 0,4306512
301; 0,627852
302; 0,07531416
303; -0,5599768
304; 0,2774453
305; -0,9716651
306; 0,9879832
307; -0,2858725
308; -0,966254
309; -0,8115702
310; -0,9970818
311; 0,1198119
312; 0,5655944
313; -0,03389871
314; 0,8011372
315; -0,6326677
316; -0,5930901
317; 0,1702627
318; 0,9968662
319; -0,5976043
320; 0,4826019
321; 0,4911234
322; 0,07945359
323; -0,5771253
324; -0,1201292
325; -0,4736797
326; 0,3382215
327; -0,5110722
328; -0,572242
329; 0,1920558
330; -0,8236532
331; 0,8473592
332; 0,8560488
333; 0,4345631
334; 0,07175863
335; -0,7812445
336; -0,54177
337; -0,5967474
338; -0,5756185
339; -0,09885252
340; -0,7915828
341; -0,1088372
342; 0,02612031
343; -0,5994449
344; -0,7040162
345; 0,08277142
346; 0,3312285
347; -0,849304
348; 0,6232166
349; 0,808708
350; -0,147004
351; -0,9588501
352; -0,4756714
353; -0,4138304
354; 0,3582959
355; 0,4403195
356; -0,8302951
357; 0,230915
358; 0,7367024
359; -0,2215084
360; 0,8385563
361; -0,8825436
362; -0,8776715
363; -0,6663914
364; -0,6039097
365; 0,2754924
366; -0,8619452
367; 0,8252523
368; 0,6768258
369; 0,5073009
370; -0,8681449
371; -0,04871118
372; 0,3382473
373; -0,03707201
374; 0,3361137
375; 0,8422418
376; 0,5358956
377; 0,6002307
378; -0,4018189
379; -0,9433575
380; -0,6275923
381; -0,2286581
382; 0,1639925
383; 0,6190238
384; -0,6226654
385; -0,6919777
386; -0,2358488
387; -0,3709608
388; -0,3108357
389; -0,9679182
390; -0,8474762
391; 0,3301305
392; -0,565629
393; -0,7711574
394; 0,8563383
395; -0,5269222
396; 0,4689836
397; -0,6286469
398; -0,5348659
399; 0,8294668
400; -0,7040899
401; -0,3005909
402; 0,6565456
403; -0,1380702
404; -0,5540409
405; -0,9840868
406; 0,8293536
407; 0,6184356
408; 0,2945177
409; 0,7510138
410; -0,5658963
411; -0,7449875
412; 0,9307523
413; 0,7888534
414; 0,2075502
415; -0,573082
416; -0,6007071
417; 0,7221673
418; 0,005333543
419; 0,03918207
420; -0,5256119
421; -0,7312553
422; 0,9885848
423; -0,1120199
424; 0,1469744
425; 0,3929069
426; 0,05717957
427; -0,08984411
428; -0,4370459
429; 0,2823834
430; -0,5134811
431; 0,4316225
432; 0,2945993
433; 0,1890703
434; 0,2862396
435; 0,1284355
436; -0,2627903
437; -0,517662
438; -0,004962802
439; 0,415575
440; -0,2622102
441; 0,01654851
442; -0,6203735
443; -0,05832803
444; 0,1109523
445; 0,09571874
446; 0,8066096
447; 0,1018931
448; 0,9942539
449; -0,4268299
450; 0,8847747
451; 0,3955295
452; -0,1589137
453; 0,1895341
454; 0,3110473
455; 0,2892317
456; 0,2767701
457; -0,30256
458; -0,6737957
459; 0,3361604
460; -0,6152217
461; -0,2332801
462; 0,8241403
463; 0,3711762
464; 0,5306911
465; -0,7690468
466; 0,7683301
467; 0,7599063
468; -0,2476314
469; 0,4374208
470; -0,14898
471; -0,7401397
472; -0,249025
473; -0,3954795
474; 0,2625484
475; 0,3337218
476; 0,9730184
477; -0,006305814
478; -0,1346165
479; -0,5159464
480; 0,4016022
481; 0,8287926
482; 0,1837319
483; 0,3608203
484; 0,2940714
485; -0,8234022
486; -0,5347645
487; 0,5375476
488; 0,3406586
489; -0,5075617
490; -0,3563207
491; 0,5712717
492; 0,8772531
493; 0,1180836
494; -0,009551406
495; -0,2653199
496; -0,5601411
497; -0,2827092
498; -0,9763296
499; -0,3493613
500; 0,6579001
501; -0,135497
502; 0,4162262
503; -0,7041683
504; -0,1494035
505; 0,0007776022
506; -0,7102821
507; -0,4409572
508; -0,5081456
509; 0,1398059
510; 0,02682126
511; -0,8458581
512; -0,8670303
513; -0,8910837
514; -0,1166254
515; -0,8993771
516; -0,006469846
517; 0,6649697
518; 0,6335393
519; -0,5091305
520; -0,08575475
521; 0,1915962
522; 0,5196579
523; -0,4706005
524; -0,8520024
525; 0,6428702
526; 0,2370056
527; -0,5214407
528; -0,7973514
529; -0,4933888
530; 0,7345612
531; 0,9866753
532; 0,7856104
533; 0,1134251
534; 0,7528708
535; -0,8048835
536; -0,09452569
537; 0,6881316
538; -0,6238961
539; 0,08169472
540; -0,5001383
541; -0,8146696
542; 0,8783321
543; 0,9437413
544; -0,2537969
545; -0,892156
546; -0,9451537
547; 0,1091124
548; 0,4314981
549; -0,0834707
550; -0,1195115
551; 0,7308798
552; -0,330161
553; -0,9652076
554; 0,1305746
555; 0,9719677
556; 0,2121598
557; -0,1236712
558; 0,7176814
559; 0,6556497
560; -0,9229448
561; -0,8574448
562; -0,9316998
563; -0,6615412
564; 0,7387862
565; 0,5704906
566; 0,1596478
567; 0,9368033
568; 0,5245337
569; -0,04039896
570; 0,2333707
571; -0,4251007
572; 0,5318208
573; -0,1744889
574; 0,8438346
575; 0,07566965
576; 0,5395794
577; 0,3671724
578; 0,9276128
579; -0,4141594
580; -0,2657915
581; -0,4157892
582; 0,0648042
583; -0,9143367
584; 0,7119884
585; 0,1174229
586; 0,6831973
587; -0,8828411
588; -0,5179758
589; 0,3270197
590; 0,8226607
591; -0,4255589
592; -0,2983414
593; 0,2873089
594; -0,7700565
595; 0,08536232
596; -0,01410472
597; 0,8081868
598; 0,2370435
599; 0,412055
600; -0,02448857
601; 0,6670582
602; 0,2505054
603; -1
604; 0,9766891
605; 0,1834446
606; -0,8339007
607; -0,6018739
608; -0,6119726
609; -0,5975964
610; 0,03953755
611; 0,3513355
612; -0,230981
613; -0,1128715
614; 0,5594764
615; 0,5381539
616; -0,7296543
617; 0,1480855
618; 0,7467153
619; 0,3077516
620; 0,7449851
621; -0,2578224
622; 0,07339394
623; 0,07279527
624; 0,435837
