GeneIndex;Weight
0; -0,7985184
1; 0,1663623
2; 0,5781556
3; 0,9224127
4; -0,6333839
5; 0,0213481
6; -0,3243295
7; -0,9246777
8; -0,627206
9; -0,2972917
10; -0,5361642
11; 0,7099977
12; -0,5522068
13; 0,6360666
14; -0,9709036
15; 0,5035314
16; 0,963475
17; 0,3433347
18; 0,4129863
19; -0,8615229
20; -0,5403973
21; 0,2270425
22; 0,6229755
23; 0,3142218
24; 0,1507342
25; -0,6577824
26; 0,3478491
27; -0,09189236
28; 0,8781313
29; 0,04948085
30; 0,5677978
31; 0,1051037
32; -0,508193
33; -0,9113808
34; -0,7016494
35; 0,5861174
36; 0,9978601
37; -1
38; 0,9207122
39; 0,1925011
40; -0,09116664
41; 0,4708681
42; 0,6357192
43; 0,8674744
44; -0,4757064
45; 0,6765149
46; 0,3534892
47; 0,4856573
48; -0,7739905
49; -0,05506726
50; 0,4790087
51; -0,8547269
52; 0,4745696
53; 0,4560083
54; 0,9208174
55; 0,7005344
56; 0,3791201
57; -0,8277697
58; 0,0669527
59; -0,6323195
60; 0,9640803
61; 0,6611856
62; 0,2703632
63; 0,7011164
64; 0,4133289
65; 0,6400146
66; -0,05693083
67; -0,6363276
68; -0,1706212
69; -0,6111031
70; 0,8974642
71; 0,3316688
72; -0,5785828
73; -0,3751602
74; 0,2315447
75; 0,117489
76; -0,121124
77; -0,5418544
78; -0,03728374
79; -0,5839836
80; 0,8098202
81; -0,6305507
82; 0,3134185
83; -0,4019463
84; 0,9407424
85; -0,8349478
86; 0,5990173
87; -0,1527158
88; 0,6946096
89; -0,5025789
90; -0,6879613
91; -1
92; -0,1240354
93; -0,6022928
94; 0,5772216
95; -0,3295295
96; -1
97; -0,9404026
98; -0,8640889
99; -0,0881384
100; -0,1664843
101; -0,7224497
102; 0,5340527
103; -0,493872
104; 0,8723531
105; -0,6397298
106; -0,6294031
107; 0,8353783
108; 0,8644688
109; 0,9695338
110; -0,6792363
111; 0,6433118
112; 0,914646
113; -0,1252454
114; -0,8410832
115; -0,07387874
116; 0,9674869
117; 0,7972611
118; -0,1565669
119; 0,8168977
120; 0,7382877
121; 0,1244806
122; 0,3402467
123; 0,4915911
124; 0,02579865
125; -0,5017166
126; -0,2108531
127; -0,1842458
128; 0,5002387
129; 0,4800611
130; 0,2918972
131; 1
132; -0,6136984
133; 0,8423966
134; 0,6493785
135; 0,6169845
136; -0,4067666
137; -0,2079302
138; 0,04615684
139; -0,5057218
140; 1
141; 0,6268661
142; -0,6672637
143; 0,6838046
144; 0,3211094
145; 0,5450991
146; 0,3446781
147; -0,5397419
148; -0,284736
149; 0,517616
150; 0,7963488
151; 0,9694996
152; -0,3480105
153; 0,1501489
154; 0,8518323
155; 0,6826187
156; -0,7484008
157; -0,3230633
158; -0,664838
159; -1
160; -0,1703157
161; 0,9895595
162; 0,7768571
163; 0,1756163
164; 0,3204648
165; -0,2871732
166; -0,8342746
167; -0,4251197
168; -0,03243831
169; -0,6368585
170; 1
171; 0,7743399
172; -0,003871806
173; -0,584518
174; 0,701386
175; -0,771019
176; 0,4125749
177; 0,5669463
178; -0,2032619
179; 0,06661355
180; 0,4264242
181; -0,277879
182; -0,08574456
183; 0,3334564
184; -0,4612694
185; 0,570784
186; -0,9044772
187; 0,2721438
188; 0,203654
189; 0,2544806
190; 0,6007228
191; -0,6665449
192; -0,001635209
193; -0,856657
194; 1
195; -0,1775483
196; 0,2558182
197; 0,6024076
198; -0,8062437
199; 0,6858313
200; -0,8636089
201; -0,3748713
202; -0,08306202
203; 0,3719782
204; 0,3368035
205; -0,4812889
206; -0,125551
207; 0,4527552
208; 0,14075
209; -0,5675623
210; -0,6912947
211; -0,1309874
212; -0,85191
213; -0,1648352
214; 0,03359542
215; 0,5534327
216; -1
217; -0,2675744
218; 0,8549486
219; 0,162076
220; -0,8047835
221; -0,8930916
222; -0,569095
223; 0,009765547
224; 0,1192996
225; -0,7069019
226; 0,2460537
227; 0,3081261
228; -0,09721948
229; 0,8497589
230; 0,5534288
