Generation,Fitness
1,0,3533897
1,-0,08
1,-0,16
1,-0,24
1,-0,08
1,0
1,0
1,-0,11
1,0
1,0
1,-0,4374511
1,0
1,0
1,-0,79
1,0,1929593
1,-0,09
1,0,02290583
1,-0,09
1,-0,23
1,0,2513902
1,-0,64
1,0,2951769
1,0,2554893
1,-0,3819505
1,0
1,-0,82
1,-0,4
1,0
1,-1,12
1,0
1,0,01636815
1,0,0555577
1,0,448832
1,0
1,-0,0008749142
1,0,07129395
1,-0,6366109
1,0,05683953
1,0,2874562
1,0,1759546
1,-0,0139754
1,0
1,0
1,0
1,0
1,0,3597218
1,0
1,0
1,-1,13
1,0
1,-0,7825208
1,-0,69
1,0,227341
1,-0,08
1,0
1,0
1,0,1824861
1,-0,91
1,-0,85
1,0,02721512
2,-0,1525798
2,0,5536293
2,0,1736056
2,0,558567
2,0,6177643
2,0,6275277
2,-0,1621466
2,0,7130283
2,0,1426875
2,0,7536466
2,0,5317131
2,0,04189771
2,-0,1691332
2,0,5762197
2,0,6404483
2,0,7154719
2,-0,3451678
2,0,5526109
2,-0,1635362
2,0,3457114
2,0,3863277
2,0,2704654
2,0,3325337
2,0,4904785
2,-0,3590384
2,0,5289685
2,0,4252897
2,-0,2926233
2,-0,27
2,0,6209951
2,-0,1656975
2,-0,3925564
2,0,5182294
2,0,3547834
2,0,6678499
2,0,6155463
2,0,07946892
2,0,641832
2,0,04915258
2,-0,2366255
2,0,5127038
2,0,1776357
2,-0,2031455
2,0,3496476
2,0,5823494
2,0,509513
2,0,6961636
2,-0,22
2,-0,1175637
2,-0,3430857
2,0,863604
2,0,2805337
2,-0,1913193
2,0,03473758
2,0,02379323
2,0,2415874
2,0,7692288
2,0,2724389
2,-0,2966253
2,0,6089802
3,-0,2425928
3,-0,02
3,0
3,-0,03
3,-0,02
3,-0,03
3,-0,66
3,-0,02
3,-0,3225001
3,-0,04
3,-0,77
3,-0,74
3,-0,9779639
3,0
3,-0,2
3,0
3,-1
3,-0,11
3,-1,14
3,0
3,0
3,-0,05
3,-0,5906842
3,-0,81
3,-0,01
3,-0,02
3,0
3,0
3,-0,09999999
3,-0,72
3,-0,84
3,-0,02
3,0
3,-0,6529707
3,-0,619028
3,-0,21
3,-1,04
3,0
3,-0,83
3,-0,08
3,-0,73
3,-0,64
3,-0,77
3,0
3,0
3,-0,9899999
3,-0,37
3,-0,1561646
3,-0,85
3,-0,02
3,-0,29
3,0
3,-1
3,-0,82
3,-0,62
3,-0,02
3,0
3,0
3,-0,12
3,-0,57
4,0
4,-0,43
4,0
4,-0,03
4,0
4,0
4,-0,05
4,-0,73
4,-0,01
4,-0,07
4,0
4,0
4,-1,1
4,-0,73
4,-0,27
4,0
4,-0,19
4,0
4,-0,03
4,-0,74
4,-0,01
4,-0,04
4,0
4,-0,86
4,0
4,-0,28
4,0
4,-1,01
4,-0,28
4,-0,04
4,-0,05
4,-0,24
4,-0,03
4,0
4,0
4,0,2041718
4,-0,09
4,-0,214531
4,-0,01
4,0
4,0
4,-0,43
4,0,1585559
4,0
4,0
4,-0,01
4,0
4,0
4,-0,87
4,-0,28
4,-0,02
4,0
4,-0,08
4,-0,12
4,0
4,-0,02
4,0
4,-0,21
4,0
4,0
5,-0,08
5,-0,11
5,0
5,-0,61
5,0
5,0
5,-0,03
5,-0,84
5,0
5,-1,06
5,0
5,0
5,-0,03
5,-0,09
5,-0,81
5,-0,1964288
5,-0,11
5,-0,38
5,-0,02
5,-0,04
5,0
5,0
5,0
5,-1
5,-0,13
5,-0,09
5,-0,71
5,-0,45
5,-0,58
5,-0,06
5,-0,34
5,-0,01
5,0
5,0
5,-0,44
5,-0,26
5,0
5,-0,12
5,0
5,0
5,-0,05
5,0
5,0
5,0
5,-1,09
5,-0,05
5,-0,4
5,0
5,-0,22
5,-0,8652241
5,-0,3216346
5,0
5,-0,15
5,0
5,-0,2
5,0
5,-1,2
5,0
5,-0,23
5,-0,03
6,0,01886469
6,0,4310176
6,0,01829034
6,-1,133452
6,-1,08
6,0
6,0
6,-0,1460356
6,0,01028639
6,0
6,-0,6505532
6,-0,05
6,0,03609157
6,0,0425328
6,0,07694875
6,-1,07
6,-1,09
6,0
6,0,03884363
6,0
6,0,04007238
6,-1,054497
6,0
6,-0,51
6,0
6,0
6,0
6,-0,81
6,-1,08
6,0
6,0,06373268
6,0
6,0
6,-0,04
6,0
6,0
6,0,04792702
6,0
6,0
6,0
6,-1,08
6,0
6,0,04888231
6,0
6,0
6,0,08419871
6,-0,95
6,0
6,0,05365181
6,-0,07712348
6,0
6,-0,13
6,-1,08
6,0,3182704
6,-1,135045
6,0,09042817
6,0,2154601
6,0
6,-0,7726629
6,0
7,-0,09
7,0
7,-0,2171638
7,-0,23
7,-0,11
7,-0,3438063
7,-0,71
7,0
7,-0,2138493
7,-0,472176
7,0
7,-0,47
7,-0,66
7,-1,16
7,-0,2368086
7,-0,02304754
7,-0,12
7,0,0354661
7,-0,17
7,-0,18
7,-0,2378394
7,-0,6955702
7,0
7,0
7,0
7,-0,24
7,-1,18
7,-0,2543156
7,0
7,0
7,-0,05
7,0
7,-1,17
7,-0,06
7,-0,05188241
7,0
7,-0,07
7,-1,018814
7,-0,02
7,-0,5502374
7,0
7,-0,75
7,-0,2205397
7,0
7,-0,213127
7,0,05513823
7,0
7,-0,1070016
7,0
7,-0,08
7,-0,6702201
7,0
7,0
7,0
7,-0,9115022
7,-0,43
7,-1,01
7,0,05577286
7,-0,43
7,-1,15
8,-0,3756263
8,0,02207285
8,-0,95
8,0,2499706
8,0,4585133
8,0,1051642
8,-1,18
8,-0,09
8,-0,64
8,0,01193208
8,0,1491394
8,0,111274
8,-1,19
8,0,2707561
8,-0,11
8,0,2148902
8,0,08804214
8,0,1914877
8,0,1662742
8,0,3347554
8,-0,12
8,0,01586703
8,-0,12
8,-0,7398177
8,-1,17
8,0,06479204
8,0,1475715
8,0,03534019
8,0
8,0,04305694
8,-0,02
8,0,06875783
8,0
8,0,1948929
8,0,2078804
8,-0,21
8,-0,02434831
8,0,06191683
8,0,1326336
8,-0,05
8,0,05675673
8,0,06418761
8,-1,16
8,-0,3
8,0,09213972
8,0,2000025
8,0,142028
8,0,1061083
8,-1,18
8,0,09642047
8,0,1198177
8,0,244988
8,0,1926684
8,-1,06
8,-1,16
8,0,08963895
8,-1,05
8,0,3280722
8,0,1180128
8,0,1418749
9,0,2726803
9,-0,4757926
9,-0,23
9,15,61708
9,0,3070486
9,0,554701
9,0,1311685
9,-0,7436096
9,-0,4978071
9,0,005929172
9,0,04641598
9,0,2380438
9,-0,87
9,0
9,0
9,0
9,-0,2873737
9,0,1439021
9,0,1738397
9,-0,577567
9,0,01348805
9,0,6833979
9,0,04744843
9,0,3082317
9,0,1106976
9,-0,4747711
9,-0,01253429
9,0
9,-0,69
9,0,1055733
9,0,05361835
9,-0,4887449
9,0,3512827
9,0,2180329
9,0,2277002
9,0,1395578
9,-0,26
9,-0,23
9,-0,07
9,0
9,-0,82
9,0,249508
9,0,2591801
9,-0,05
9,0
9,0
9,0,1046873
9,0,05148454
9,0,03928643
9,-0,24
9,-0,39
9,0,2903464
9,-1,01
9,0,2826603
9,0,1187572
9,0
9,0,3179337
9,-0,93
9,0,1431189
9,-0,67
10,-0,11
10,-0,02
10,-0,11
10,-0,19
10,-0,18
10,0
10,-0,03
10,-0,06
10,0
10,0
10,0
10,0
10,-0,29
10,-0,14
10,0
10,-0,05451781
10,-0,07
10,-0,07
10,0
10,0
10,0
10,0
10,0
10,0,08804151
10,0
10,0
10,-0,83
10,0
10,0
10,0
10,0
10,0
10,-0,12
10,0
10,-0,31
10,-0,14
10,-0,01
10,0
10,-0,16
10,-0,09
10,-0,05
10,0
10,0
10,-0,03
10,0
10,0
10,0
10,0
10,-0,15
10,-0,63
10,0,7665464
10,0
10,-0,09
10,-0,06
10,0
10,0
10,0
10,-0,03
10,0
10,0
11,-0,3
11,0,1099967
11,0,3409247
11,0,07614021
11,0,07307863
11,0,142841
11,0,3667013
11,0,04800981
11,0,4438029
11,0,0692699
11,-0,3
11,0,008371279
11,0
11,-0,38
11,0,2898224
11,0,2552369
11,0,2472873
11,-0,54
11,-0,02
11,0,3096381
11,0,1606629
11,0,2658063
11,0,0826422
11,0,2865644
11,-0,14
11,-0,09
11,0,5635009
11,0,206548
11,0,1178117
11,0,07935625
11,0,6513423
11,0,01813196
