Generation;Fitness
1;-0,46
1;-1,14
1;-0,23
1;0
1;-1,05
1;-0,18
1;0,2897809
1;-0,18
1;-0,41
1;0
1;-0,14
1;-0,0001901221
1;-0,28
1;-0,06747534
1;-0,04
1;-0,14
1;-0,11
1;-0,09999999
1;-0,19
1;-0,4
1;-0,19
1;0
1;-0,05
1;-0,18
1;-0,18
1;-0,24
1;-0,21
1;-0,06
1;-0,03
1;-0,08311582
1;0,1625484
1;-0,19
1;-1,03
1;-0,26
1;-0,38
1;0
1;-0,3
1;0,1440354
1;-0,08
1;-0,59
1;-0,54
1;-0,06
1;-0,26
1;-0,39
1;-0,94
1;-0,29
1;-0,02
1;-0,05
1;-0,44
1;-0,09
1;-0,28
1;0
1;-0,19
1;-0,73
1;-0,01
1;-0,4407367
1;-0,2
1;-0,34
1;-0,68
1;-0,07
2;0,1140933
2;-0,02624977
2;0,7792554
2;0
2;0,3224111
2;-0,19
2;0,2184948
2;-0,47
2;15,64039
2;-0,09999999
2;0,07204545
2;0,01037356
2;-0,19
2;-0,13
2;-0,37
2;-0,04
2;-0,66
2;-0,03520308
2;-0,01
2;-0,04702667
2;0,2141942
2;0,1152125
2;-0,34
2;0
2;-0,24
2;-0,6
2;0,3230621
2;0,2141561
2;0,06036596
2;-0,07
2;0,02381951
2;0,5031494
2;0,1170926
2;0
2;0
2;0,1523045
2;0,1412969
2;0
2;0
2;0,2177691
2;-1,07
2;0,08183038
2;-0,08
2;0
2;0
2;0
2;0
2;0,07785738
2;0,2525662
2;-0,3
2;-0,12
2;0,02271241
2;-0,28
2;-0,1608562
2;0,01537955
2;0,145049
2;0,09539652
2;0,07282746
2;0,0639962
2;0,08284396
3;15,58208
3;-0,1560329
3;-0,21
3;0,6240131
3;-0,4449645
3;-0,123856
3;-0,4447861
3;-0,7833677
3;0,2846063
3;0,2975203
3;0,4525019
3;0,1811998
3;15,5478
3;0,161806
3;0,3374073
3;0,06188059
3;0,3535857
3;0,659106
3;-0,01194532
3;0,6575064
3;0,2504401
3;0,8806323
3;0,3720347
3;0,330325
3;15,43071
3;0,260995
3;0,515255
3;0,08111974
3;0,2710746
3;0,17755
3;-0,58
3;-0,640573
3;15,00524
3;0,5511755
3;0,1894695
3;0,1752392
3;0,2148979
3;0,2895657
3;0,3329968
3;0,5378189
3;0,4660245
3;0,3329715
3;-0,03330358
3;0,3819302
3;0,3583978
3;0,2975618
3;0,3253151
3;0,185013
3;0,1882997
3;-0,1376059
3;0,05052956
3;0,1596206
3;0,232344
3;0,2014841
3;-0,9304729
3;0,5387611
3;0,2374864
3;-0,6
3;0,12757
3;0,133111
4;0,7472096
4;-0,323213
4;0,2338284
4;0,2428632
4;0,7023425
4;0,73451
4;0,1880322
4;0,5896676
4;0,2480364
4;0,5082687
4;0,4563242
4;-0,1598878
4;0,3143127
4;0,2451419
4;0,2600656
4;0,168209
4;0,4179806
4;0,592863
4;0,5614948
4;0,3735354
4;0,4085558
4;0,5767624
4;0,2807199
4;-0,2527002
4;0,2947555
4;-0,03683877
4;0,7613388
4;0,00357461
4;0,001408337
4;0,7567354
4;0,2798978
4;0,365735
4;0,3781727
4;0,5354756
4;-0,221628
4;0,2706437
4;0,309834
4;0,636086
4;0,5244396
4;-0,07008077
4;0,676597
4;0,08125773
4;0,5334661
4;0,5779238
4;0,3403475
4;0,1035371
4;0,3153457
4;-0,39
4;0,194374
4;0,679616
4;0,5215213
4;0,4708804
4;0,4285042
4;0,5243676
4;0,6692787
4;-0,23
4;-0,009769376
4;0,4679866
4;0,3809454
4;0,2887011
5;0,03122134
5;0,2125111
5;0,5777904
5;0,20485
5;0,2448452
5;-0,06
5;0,6193742
5;0,06262487
5;0,03631104
5;-0,09
5;0,1588331
5;0,2477043
5;14,99386
5;0,1617709
5;-0,2662907
5;-0,08564392
5;0,07360458
5;0,8409679
5;-0,03739556
5;0,03609484
5;0
5;0
5;0,3934023
5;-0,03
5;-0,28
5;0,07811385
5;0,005865395
5;-0,04637845
5;0,2589017
5;0,02315956
5;-0,19
5;0
5;-0,01153822
5;0
5;-0,02
5;0
5;0,1619609
5;0
5;-0,22
5;0,1041348
5;0
5;-0,03
5;-0,1491462
5;0,01054496
5;0,09180623
5;0
5;0,216561
5;0,1874576
5;-0,05
5;-0,31
5;-0,05
5;0,02847922
5;0,209401
5;-0,16
5;0,1291947
5;0
5;0
5;0,2329715
5;0
5;0,1069632
6;0,3660365
6;0,6437125
6;15,7071
6;-0,4870978
6;15,58507
6;0,006421506
6;0,471336
6;0,6110041
6;-0,08
6;15,41625
6;-0,07
6;0,4670455
6;0,2218275
6;0,2968588
6;0,6083251
6;-0,00419876
6;0,2960568
6;15,59789
6;0,2591676
6;0,3546604
6;0
6;0,7027817
6;0,895839
6;0,3442121
6;0,4376712
6;0,281333
6;15,27997
6;15,35449
6;0,326071
6;0,1937302
6;0,08160627
6;0,8797818
6;0,5947015
6;0,7027727
6;0,5146388
6;0,7023522
6;0,1667067
6;0,500471
6;15,70201
6;0,4803397
6;0,4885879
6;0,6112415
6;0,2823785
6;-0,17
6;-0,6829682
6;0,500212
6;15,39633
6;15,60643
6;0,4070427
6;-0,77
6;15,63614
6;15,676
6;0,8178573
6;0,4705427
6;0,5616873
6;0,7207674
6;0,3174286
6;0,859916
6;-0,6223106
6;15,37713
7;-0,44
7;-0,16
7;-0,07
7;0,389109
7;0,1073908
7;0,7560343
7;-0,3784571
7;-0,04
7;0,06920214
7;0
7;0,3330842
7;0,2487437
7;-0,11
7;0,2066779
7;0,005030544
7;0,6754133
7;0
7;0,6021675
7;-0,55
7;0,01413947
7;-0,02
7;0,385487
7;-0,15
7;-0,05304331
7;-0,13
7;0,1798321
7;-0,41
7;0
7;-0,04
7;0,09302585
7;-0,2354003
7;0,05769902
7;-0,19
7;0
7;0,2089946
7;0,0767296
7;-1,11
7;0,1134546
7;-0,001945786
7;0,2030786
7;0,1622115
7;-0,04
7;0,141053
7;0,2658138
7;0
7;0
7;-0,09724412
7;-0,01
7;15,24199
7;-0,5421937
7;-0,5
7;0,1462545
7;-0,08
7;0,1734808
7;0,6679951
7;-0,07
7;-0,05
7;0,8664927
7;0,2074103
7;0,2689008
8;0,8297801
8;0,7557385
8;-0,26962
8;0,7776166
8;-0,8955852
8;0,4532543
8;0,002681596
8;15,19095
8;0,1071334
8;0,3441904
8;0,2321433
8;0,3397842
8;0,6300896
8;0,2453489
8;0,2887436
8;0,6518544
8;0,2344326
8;0,3796833
8;0,07891665
8;15,76345
8;-0,32
8;0,3823915
8;-0,32
8;15,52759
8;0,5295675
8;0,7336662
8;-0,5024232
8;15,77599
8;0,7913876
8;-0,3309282
8;0,3464423
8;0,1000199
8;0,2295443
8;0,5880178
8;0,6874369
8;0,6691457
8;0,1402848
8;-0,6034582
8;-0,8170949
8;0,4269999
8;-0,4960849
8;15,53081
8;0,1954671
8;0,1397281
8;0,5882291
8;0,1942594
8;0
8;0,2784218
8;0,4194027
8;0,2244325
8;15,49433
8;14,91939
8;0,6746202
8;-0,15
8;-0,854512
8;0,09716379
8;-0,7740848
8;15,65985
8;0,1594622
8;0,2632191
9;-0,08266249
9;0,2401192
9;0,006572798
9;0,3077371
9;0,380827
9;0,1830169
9;0,3687088
9;0,05555041
9;-0,4558484
9;0,431589
9;0,06329209
9;0,4540789
9;0,3471447
9;0,4600787
9;0,357839
9;0,2651508
9;0,4410001
9;0,0950042
9;0,351494
9;0,3897662
9;0,4153137
9;0,4924362
9;0,3014974
9;0,1037647
9;0,2758267
9;0,3170373
9;0,4870788
9;0,2015137
9;-0,3068097
9;0,3770018
9;0,3993751
9;0,2199923
9;0,1433948
9;0,1459484
9;0,3220382
9;0,06737043
9;-0,04240385
9;0,4714471
9;0,151329
9;0,2651434
9;0,4275472
9;0,2388277
9;0,2642212
9;0,325829
9;14,81934
9;0,0146551
9;-0,1098752
9;0,3978636
